workerid,proliferate.condition,ssh2,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,sh-like-s,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,swapped,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,swapped,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,sh-like-s,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,s-like-sh,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,sh-like-s,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,s-like-sh,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,swapped,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,normal,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,swapped,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,swapped,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,sh-like-s,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,swapped,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,s-like-sh,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,swapped,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,sh-like-s,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,normal,
