workerid,proliferate.condition,video_stall,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,some,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,some,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,no,
